Date,Away,Away_Abbr,Home,Home_Abbr,Away_G,Home_G,Total,Away_GP_Before,Home_GP_Before,Away_GF_Avg,Away_GA_Avg,Home_GF_Avg,Home_GA_Avg,Eligible,Lambda,Line,Over_Odds,Under_Odds,P_Over,P_Under,Lean,Edge_Over,Edge_Under,Actual_Result,Graded,Hit,Profit
2025-10-07,Chicago Blackhawks,CHI,Florida Panthers,FLA,2,3,5,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-07,Colorado Avalanche,COL,Los Angeles Kings,LAK,4,1,5,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-07,Pittsburgh Penguins,PIT,New York Rangers,NYR,3,0,3,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-08,Calgary Flames,CGY,Edmonton Oilers,EDM,4,3,7,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-08,Montreal Canadiens,MTL,Toronto Maple Leafs,TOR,2,5,7,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-08,Los Angeles Kings,LAK,Vegas Golden Knights,VGK,6,5,11,1,0,1.0000,4.0000,,,False,,,,,,,,,,,False,,
2025-10-08,Boston Bruins,BOS,Washington Capitals,WSH,3,1,4,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-09,Chicago Blackhawks,CHI,Boston Bruins,BOS,3,4,7,1,1,2.0000,3.0000,3.0000,1.0000,False,,,,,,,,,,,False,,
2025-10-09,New York Rangers,NYR,Buffalo Sabres,BUF,4,0,4,1,0,0.0000,3.0000,,,False,,,,,,,,,,,False,,
2025-10-09,New Jersey Devils,NJD,Carolina Hurricanes,CAR,3,6,9,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-09,Utah Mammoth,UTA,Colorado Avalanche,COL,1,2,3,0,1,,,4.0000,1.0000,False,,,,,,,,,,,False,,
2025-10-09,Montreal Canadiens,MTL,Detroit Red Wings,DET,5,1,6,1,0,2.0000,5.0000,,,False,,,,,,,,,,,False,,
2025-10-09,Philadelphia Flyers,PHI,Florida Panthers,FLA,1,2,3,0,1,,,3.0000,2.0000,False,,,,,,,,,,,False,,
2025-10-09,Columbus Blue Jackets,CBJ,Nashville Predators,NSH,1,2,3,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-09,New York Islanders,NYI,Pittsburgh Penguins,PIT,3,4,7,0,1,,,3.0000,0.0000,False,,,,,,,,,,,False,,
2025-10-09,Anaheim Ducks,ANA,Seattle Kraken,SEA,1,3,4,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-09,Vegas Golden Knights,VGK,San Jose Sharks,SJS,4,3,7,1,0,5.0000,6.0000,,,False,,,,,,,,,,,False,,
2025-10-09,Minnesota Wild,MIN,St. Louis Blues,STL,5,0,5,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-09,Ottawa Senators,OTT,Tampa Bay Lightning,TBL,5,4,9,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-09,Calgary Flames,CGY,Vancouver Canucks,VAN,1,5,6,1,0,4.0000,3.0000,,,False,,,,,,,,,,,False,,
2025-10-09,Dallas Stars,DAL,Winnipeg Jets,WPG,5,4,9,0,0,,,,,False,,,,,,,,,,,False,,
2025-10-11,Buffalo Sabres,BUF,Boston Bruins,BOS,1,3,4,1,2,0.0000,4.0000,3.5000,2.0000,False,,,,,,,,,,,False,,
2025-10-11,Philadelphia Flyers,PHI,Carolina Hurricanes,CAR,3,4,7,1,1,1.0000,2.0000,6.0000,3.0000,False,,,,,,,,,,,False,,
2025-10-11,St. Louis Blues,STL,Calgary Flames,CGY,4,2,6,1,2,0.0000,5.0000,2.5000,4.0000,False,,,,,,,,,,,False,,
2025-10-11,Montreal Canadiens,MTL,Chicago Blackhawks,CHI,3,2,5,2,2,3.5000,3.0000,2.5000,3.5000,False,,,,,,,,,,,False,,
2025-10-11,Dallas Stars,DAL,Colorado Avalanche,COL,5,4,9,1,2,5.0000,4.0000,3.0000,1.0000,False,,,,,,,,,,,False,,
2025-10-11,Toronto Maple Leafs,TOR,Detroit Red Wings,DET,3,6,9,1,1,5.0000,2.0000,1.0000,5.0000,False,,,,,,,,,,,False,,
2025-10-11,Vancouver Canucks,VAN,Edmonton Oilers,EDM,1,3,4,1,1,5.0000,1.0000,3.0000,4.0000,False,,,,,,,,,,,False,,
